type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-12-09 13:20:51,40.94757167,-8.56320167,1.50,136.700,,10.651,2,25,43,,
T,2022-12-09 13:20:52,40.94765833,-8.56319833,1.50,136.400,,8.939,2,25,43,,
T,2022-12-09 13:20:53,40.94773167,-8.56319833,1.50,136.500,,7.764,2,24,43,,
T,2022-12-09 13:20:54,40.94779500,-8.56320000,1.50,136.600,,6.651,360,24,43,,
T,2022-12-09 13:20:55,40.94785167,-8.56320500,1.50,136.100,,6.419,356,24,43,,
T,2022-12-09 13:20:56,40.94790833,-8.56321333,1.50,135.600,,6.652,352,24,43,,
T,2022-12-09 13:20:57,40.94796167,-8.56322667,1.50,135.600,,5.693,351,24,43,,
T,2022-12-09 13:20:58,40.94800167,-8.56323667,1.50,135.400,,3.891,349,24,43,,
T,2022-12-09 13:20:59,40.94802667,-8.56324333,1.50,135.400,,2.284,349,23,43,,
T,2022-12-09 13:21:00,40.94804000,-8.56324833,1.50,135.000,,1.739,346,23,43,,
T,2022-12-09 13:21:01,40.94805333,-8.56325500,1.50,134.700,,1.967,343,23,43,,
T,2022-12-09 13:21:02,40.94807000,-8.56326000,1.50,134.500,,2.090,345,24,43,,
T,2022-12-09 13:21:03,40.94809000,-8.56326667,1.50,134.400,,2.655,345,24,43,,
T,2022-12-09 13:21:04,40.94811500,-8.56327500,1.50,134.200,,3.318,344,23,43,,
T,2022-12-09 13:21:05,40.94814500,-8.56328500,1.50,133.900,,3.854,347,23,43,,
T,2022-12-09 13:21:06,40.94818167,-8.56329667,1.50,133.500,,4.362,345,23,43,,
T,2022-12-09 13:21:07,40.94822333,-8.56331167,1.40,133.100,,5.133,345,23,43,,
T,2022-12-09 13:21:08,40.94826833,-8.56332500,1.40,132.900,,5.719,345,23,43,,
T,2022-12-09 13:21:09,40.94831833,-8.56334000,1.50,132.700,,6.065,347,23,43,,
T,2022-12-09 13:21:10,40.94837500,-8.56335167,1.50,132.800,,6.275,353,21,42,,
T,2022-12-09 13:21:11,40.94842667,-8.56336500,1.50,132.500,,5.485,348,21,42,,
T,2022-12-09 13:21:12,40.94847500,-8.56338167,1.50,132.600,,5.748,346,21,43,,
T,2022-12-09 13:21:13,40.94853167,-8.56339833,1.50,132.600,,6.915,346,20,43,,
T,2022-12-09 13:21:14,40.94860000,-8.56342000,1.50,133.000,,8.515,347,19,42,,
T,2022-12-09 13:21:15,40.94867667,-8.56344667,1.50,133.400,,9.027,347,20,43,,
T,2022-12-09 13:21:16,40.94875833,-8.56347000,1.50,133.100,,9.159,347,21,43,,
T,2022-12-09 13:21:17,40.94883333,-8.56349167,1.50,132.400,,7.696,347,21,43,,
T,2022-12-09 13:21:18,40.94889167,-8.56351167,1.50,132.000,,6.129,348,21,43,,
T,2022-12-09 13:21:19,40.94894000,-8.56352833,1.50,131.700,,5.054,346,21,43,,
T,2022-12-09 13:21:20,40.94898000,-8.56354000,1.50,132.000,,3.708,345,23,43,,
T,2022-12-09 13:21:21,40.94901000,-8.56355000,1.50,132.700,,3.211,347,25,43,,
T,2022-12-09 13:21:22,40.94903833,-8.56355833,1.50,133.100,,2.797,343,25,43,,
T,2022-12-09 13:21:23,40.94906167,-8.56356333,1.40,133.400,,2.082,346,25,43,,
T,2022-12-09 13:21:24,40.94907833,-8.56356667,1.40,133.500,,0.000,,25,43,,
T,2022-12-09 13:21:25,40.94908167,-8.56357000,1.10,133.500,,0.000,,25,43,,
T,2022-12-09 13:21:26,40.94908833,-8.56357167,1.00,133.500,,0.000,,25,43,,
T,2022-12-09 13:21:27,40.94909000,-8.56357167,0.90,133.500,,0.000,,25,43,,
T,2022-12-09 13:21:28,40.94909000,-8.56357167,0.90,133.500,,0.000,,24,43,,
T,2022-12-09 13:21:29,40.94909000,-8.56357167,0.90,133.500,,0.000,,22,43,,
T,2022-12-09 13:21:30,40.94909000,-8.56357167,0.90,133.500,,0.000,,22,43,,
T,2022-12-09 13:21:31,40.94909000,-8.56357167,0.90,133.500,,0.000,,21,43,,
T,2022-12-09 13:21:32,40.94909000,-8.56357167,0.90,133.500,,0.000,,21,43,,
T,2022-12-09 13:21:33,40.94911333,-8.56357833,1.00,133.700,,0.000,,21,43,,
T,2022-12-09 13:21:34,40.94912000,-8.56358000,1.00,133.700,,0.000,,21,43,,
T,2022-12-09 13:21:35,40.94912500,-8.56358333,1.00,133.800,,0.000,,22,43,,
T,2022-12-09 13:21:36,40.94913167,-8.56358500,1.00,133.900,,0.000,,22,43,,
T,2022-12-09 13:21:37,40.94917000,-8.56360333,1.30,133.900,,4.378,340,22,43,,
T,2022-12-09 13:21:38,40.94921333,-8.56362500,1.40,133.700,,5.096,341,22,43,,
T,2022-12-09 13:21:39,40.94926500,-8.56364833,1.40,133.500,,6.027,340,23,43,,
T,2022-12-09 13:21:40,40.94932833,-8.56367667,1.50,133.500,,7.028,345,23,43,,
T,2022-12-09 13:21:41,40.94939833,-8.56370333,1.50,133.600,,8.036,349,26,43,,
T,2022-12-09 13:21:42,40.94947500,-8.56373000,1.50,133.700,,8.610,346,26,43,,
T,2022-12-09 13:21:43,40.94955667,-8.56376333,1.50,133.000,,9.127,340,26,43,,
T,2022-12-09 13:21:44,40.94964333,-8.56381167,1.50,132.200,,10.085,333,26,43,,
T,2022-12-09 13:21:45,40.94973667,-8.56388000,1.60,131.500,,11.439,327,25,43,,
T,2022-12-09 13:21:46,40.94982500,-8.56396333,1.60,130.700,,11.430,321,25,43,,
T,2022-12-09 13:21:47,40.94990833,-8.56405167,1.60,130.200,,11.287,318,25,43,,
T,2022-12-09 13:21:48,40.94998833,-8.56414000,1.60,129.400,,11.019,318,25,43,,
T,2022-12-09 13:21:49,40.95006167,-8.56423000,1.70,128.800,,10.514,316,25,43,,
T,2022-12-09 13:21:50,40.95013000,-8.56431667,1.70,128.200,,10.187,316,25,43,,
T,2022-12-09 13:21:51,40.95019667,-8.56440500,1.70,127.800,,9.791,315,25,43,,
T,2022-12-09 13:21:52,40.95026500,-8.56449000,1.70,127.600,,9.909,315,25,43,,
T,2022-12-09 13:21:53,40.95033167,-8.56457500,1.70,127.600,,9.995,315,25,43,,
T,2022-12-09 13:21:54,40.95039833,-8.56465667,1.70,127.700,,9.515,317,25,43,,
T,2022-12-09 13:21:55,40.95046000,-8.56473500,1.60,127.400,,9.105,315,25,43,,
T,2022-12-09 13:21:56,40.95052000,-8.56481167,1.60,127.400,,9.275,316,25,43,,
T,2022-12-09 13:21:57,40.95058167,-8.56489000,1.60,127.500,,9.252,317,24,43,,
T,2022-12-09 13:21:58,40.95064333,-8.56496333,1.60,127.500,,9.289,319,24,43,,
T,2022-12-09 13:21:59,40.95071000,-8.56503667,1.60,127.600,,9.177,319,23,43,,
T,2022-12-09 13:22:00,40.95077167,-8.56511167,1.60,127.800,,9.181,314,23,43,,
T,2022-12-09 13:22:01,40.95083333,-8.56519167,1.60,127.400,,9.217,315,23,43,,
T,2022-12-09 13:22:02,40.95089333,-8.56527167,1.60,127.300,,9.226,315,23,43,,
T,2022-12-09 13:22:03,40.95095333,-8.56535167,1.60,127.400,,9.468,316,23,43,,
T,2022-12-09 13:22:04,40.95101667,-8.56543167,1.60,127.200,,9.824,316,23,43,,
T,2022-12-09 13:22:05,40.95108000,-8.56551500,1.60,127.100,,9.979,314,24,43,,
T,2022-12-09 13:22:06,40.95114333,-8.56560000,1.60,127.200,,10.198,315,23,43,,
T,2022-12-09 13:22:07,40.95121000,-8.56568500,1.50,127.200,,10.615,316,23,43,,
T,2022-12-09 13:22:08,40.95128167,-8.56577333,1.50,127.600,,11.061,317,23,43,,
T,2022-12-09 13:22:09,40.95135667,-8.56586500,1.50,127.700,,11.481,317,23,43,,
T,2022-12-09 13:22:10,40.95143333,-8.56596333,1.50,127.700,,11.922,316,23,43,,
T,2022-12-09 13:22:11,40.95151167,-8.56606333,1.50,127.700,,12.100,316,23,42,,
T,2022-12-09 13:22:12,40.95159000,-8.56616333,1.50,127.800,,12.016,316,23,42,,
T,2022-12-09 13:22:13,40.95166667,-8.56626333,1.50,127.800,,11.704,315,23,42,,
T,2022-12-09 13:22:14,40.95173667,-8.56635667,1.50,128.200,,10.453,315,24,42,,
T,2022-12-09 13:22:15,40.95180000,-8.56643667,1.50,128.500,,9.373,317,23,42,,
T,2022-12-09 13:22:16,40.95186000,-8.56650833,1.50,128.600,,8.468,317,24,42,,
T,2022-12-09 13:22:17,40.95191167,-8.56657667,1.50,128.800,,7.462,318,24,42,,
T,2022-12-09 13:22:18,40.95195833,-8.56663167,1.50,129.100,,6.213,317,24,42,,
T,2022-12-09 13:22:19,40.95199333,-8.56667667,1.50,129.500,,4.863,317,24,42,,
T,2022-12-09 13:22:20,40.95202000,-8.56671000,1.50,129.800,,3.397,316,24,42,,
T,2022-12-09 13:22:21,40.95203833,-8.56673167,1.50,130.000,,2.471,320,25,42,,
T,2022-12-09 13:22:22,40.95205167,-8.56674833,1.50,129.900,,1.704,315,25,42,,
T,2022-12-09 13:22:23,40.95206000,-8.56676000,1.50,129.700,,1.109,315,25,42,,
T,2022-12-09 13:22:24,40.95206500,-8.56676500,1.50,129.700,,0.000,,25,42,,
T,2022-12-09 13:22:25,40.95206833,-8.56676667,1.10,129.700,,0.000,,25,42,,
T,2022-12-09 13:22:26,40.95206833,-8.56677000,1.00,129.800,,0.000,,25,42,,
T,2022-12-09 13:22:27,40.95206833,-8.56677000,1.00,129.800,,0.000,,24,42,,
T,2022-12-09 13:22:28,40.95206833,-8.56677000,1.00,129.800,,0.000,,24,42,,
T,2022-12-09 13:22:29,40.95206833,-8.56677000,0.90,129.800,,0.000,,24,42,,
T,2022-12-09 13:22:30,40.95206833,-8.56677000,0.90,129.800,,0.000,,24,42,,
T,2022-12-09 13:22:31,40.95206833,-8.56677000,0.90,129.800,,0.000,,24,42,,
T,2022-12-09 13:22:32,40.95206833,-8.56677000,0.90,129.800,,0.000,,24,42,,
T,2022-12-09 13:22:33,40.95206833,-8.56677000,0.90,129.800,,0.000,,23,42,,
T,2022-12-09 13:22:34,40.95206833,-8.56677000,0.90,129.800,,0.000,,23,42,,
T,2022-12-09 13:22:35,40.95206833,-8.56677000,0.90,129.800,,0.000,,24,41,,
T,2022-12-09 13:22:36,40.95206833,-8.56677000,0.90,129.800,,0.000,,24,41,,
T,2022-12-09 13:22:37,40.95206833,-8.56677000,0.90,129.800,,0.000,,24,41,,
T,2022-12-09 13:22:38,40.95206833,-8.56677000,0.90,129.800,,0.000,,23,41,,
T,2022-12-09 13:22:39,40.95206833,-8.56677000,0.90,129.800,,0.000,,23,41,,
T,2022-12-09 13:22:40,40.95206833,-8.56677000,0.90,129.800,,0.000,,23,41,,
T,2022-12-09 13:22:41,40.95206833,-8.56677000,1.00,129.800,,0.000,,23,41,,
T,2022-12-09 13:22:42,40.95207167,-8.56678500,1.00,130.100,,0.000,,23,41,,
T,2022-12-09 13:22:43,40.95208500,-8.56680667,1.30,130.200,,0.000,,23,41,,
T,2022-12-09 13:22:44,40.95210667,-8.56684167,1.40,130.500,,0.000,,22,41,,
T,2022-12-09 13:22:45,40.95213333,-8.56688000,1.50,130.900,,4.242,314,22,41,,
T,2022-12-09 13:22:46,40.95216500,-8.56692167,1.50,131.200,,4.876,317,21,41,,
T,2022-12-09 13:22:47,40.95220167,-8.56696667,1.50,131.500,,5.850,316,21,41,,
T,2022-12-09 13:22:48,40.95224167,-8.56702000,1.50,131.500,,6.113,315,21,41,,
T,2022-12-09 13:22:49,40.95228167,-8.56707500,1.50,131.600,,6.353,315,21,41,,
T,2022-12-09 13:22:50,40.95232500,-8.56713167,1.50,131.700,,6.503,316,23,41,,
T,2022-12-09 13:22:51,40.95237000,-8.56719167,1.50,131.700,,7.244,315,23,41,,
T,2022-12-09 13:22:52,40.95242000,-8.56725667,1.50,131.800,,7.907,317,23,41,,
T,2022-12-09 13:22:53,40.95247500,-8.56732333,1.50,131.700,,7.819,317,25,41,,
T,2022-12-09 13:22:54,40.95252667,-8.56739000,1.50,131.400,,8.101,317,25,41,,
T,2022-12-09 13:22:55,40.95258167,-8.56746000,1.50,131.300,,8.725,317,25,41,,
T,2022-12-09 13:22:56,40.95264167,-8.56753667,1.50,131.600,,9.359,317,25,41,,
T,2022-12-09 13:22:57,40.95270833,-8.56761667,1.50,131.600,,10.292,319,25,41,,
T,2022-12-09 13:22:58,40.95278000,-8.56769667,1.50,131.400,,10.499,321,25,41,,
T,2022-12-09 13:22:59,40.95285833,-8.56776833,1.50,131.100,,10.754,328,25,41,,
T,2022-12-09 13:23:00,40.95294667,-8.56782833,1.50,131.000,,11.229,335,25,41,,
T,2022-12-09 13:23:01,40.95304333,-8.56787500,1.50,130.800,,11.318,342,25,41,,
T,2022-12-09 13:23:02,40.95314667,-8.56790500,1.60,130.500,,11.524,350,23,41,,
T,2022-12-09 13:23:03,40.95325333,-8.56791833,1.50,130.100,,11.715,356,22,41,,
T,2022-12-09 13:23:04,40.95336167,-8.56791833,1.60,129.600,,11.610,1,22,41,,
T,2022-12-09 13:23:05,40.95347500,-8.56791000,1.50,129.300,,12.415,3,23,41,,
T,2022-12-09 13:23:06,40.95359167,-8.56789500,1.50,128.500,,12.944,5,23,41,,
T,2022-12-09 13:23:07,40.95371333,-8.56787500,1.50,127.700,,13.548,7,23,41,,
T,2022-12-09 13:23:08,40.95383833,-8.56785333,1.50,127.700,,13.721,6,23,41,,
T,2022-12-09 13:23:09,40.95396667,-8.56782833,1.50,127.100,,13.951,7,24,41,,
T,2022-12-09 13:23:10,40.95409500,-8.56780333,1.50,126.600,,14.215,8,25,41,,
T,2022-12-09 13:23:11,40.95422667,-8.56777500,1.60,126.200,,14.730,9,25,41,,
T,2022-12-09 13:23:12,40.95436500,-8.56774500,1.60,125.500,,15.450,9,25,41,,
T,2022-12-09 13:23:13,40.95450500,-8.56771667,1.70,124.800,,15.434,9,25,41,,
T,2022-12-09 13:23:14,40.95464333,-8.56768667,1.70,123.700,,15.588,9,25,41,,
T,2022-12-09 13:23:15,40.95478333,-8.56765167,1.80,122.600,,15.816,10,25,41,,
T,2022-12-09 13:23:16,40.95492167,-8.56761667,1.80,121.800,,15.954,9,23,41,,
T,2022-12-09 13:23:17,40.95506000,-8.56758000,1.80,121.100,,15.992,11,23,41,,
T,2022-12-09 13:23:18,40.95520000,-8.56754500,1.90,120.700,,15.630,9,23,41,,
T,2022-12-09 13:23:19,40.95534000,-8.56751833,1.80,120.200,,15.659,6,24,41,,
T,2022-12-09 13:23:20,40.95548167,-8.56750833,1.70,119.500,,15.666,2,24,41,,
T,2022-12-09 13:23:21,40.95562667,-8.56751167,1.70,118.800,,15.857,354,24,41,,
T,2022-12-09 13:23:22,40.95577333,-8.56754833,1.70,118.100,,16.326,345,22,41,,
T,2022-12-09 13:23:23,40.95591833,-8.56761500,1.70,116.900,,16.076,339,22,41,,
T,2022-12-09 13:23:24,40.95605833,-8.56769833,1.70,115.400,,16.572,334,23,41,,
T,2022-12-09 13:23:25,40.95619333,-8.56778167,1.70,114.300,,16.568,335,23,41,,
T,2022-12-09 13:23:26,40.95633000,-8.56786167,1.80,113.200,,16.168,337,23,41,,
T,2022-12-09 13:23:27,40.95645500,-8.56793833,1.90,111.800,,15.295,335,23,41,,
T,2022-12-09 13:23:28,40.95657000,-8.56801500,2.00,110.500,,14.931,331,22,41,,
T,2022-12-09 13:23:29,40.95668167,-8.56810167,2.00,109.000,,14.896,323,23,41,,
T,2022-12-09 13:23:30,40.95679167,-8.56822000,2.00,108.100,,14.726,316,23,41,,
T,2022-12-09 13:23:31,40.95688000,-8.56837167,2.10,107.200,,15.354,304,21,41,,
T,2022-12-09 13:23:32,40.95695167,-8.56855833,2.00,106.200,,16.499,297,21,41,,
T,2022-12-09 13:23:33,40.95701000,-8.56875667,2.00,105.000,,15.893,293,21,41,,
T,2022-12-09 13:23:34,40.95707000,-8.56896500,1.90,105.800,,16.224,293,21,41,,
T,2022-12-09 13:23:35,40.95713167,-8.56916333,1.90,104.700,,16.520,293,20,41,,
T,2022-12-09 13:23:36,40.95719333,-8.56935833,1.90,103.700,,16.752,294,21,41,,
T,2022-12-09 13:23:37,40.95725333,-8.56955333,1.90,104.100,,16.810,294,21,41,,
T,2022-12-09 13:23:38,40.95731500,-8.56974167,1.80,103.800,,16.084,294,21,41,,
T,2022-12-09 13:23:39,40.95737500,-8.56992000,1.80,103.400,,16.105,294,21,41,,
T,2022-12-09 13:23:40,40.95743333,-8.57009833,1.70,104.500,,16.234,294,21,41,,
T,2022-12-09 13:23:41,40.95748833,-8.57027833,1.60,106.400,,16.064,294,26,41,,
T,2022-12-09 13:23:42,40.95754333,-8.57045500,1.60,108.400,,15.629,294,26,41,,
T,2022-12-09 13:23:43,40.95760000,-8.57062833,1.60,109.400,,15.703,295,27,41,,
T,2022-12-09 13:23:44,40.95765500,-8.57080000,1.50,109.700,,15.000,293,27,41,,
T,2022-12-09 13:23:45,40.95770833,-8.57096500,1.50,110.200,,14.990,293,28,41,,
T,2022-12-09 13:23:46,40.95776000,-8.57112667,1.50,110.900,,15.097,294,28,41,,
T,2022-12-09 13:23:47,40.95781500,-8.57129000,1.50,111.800,,14.954,294,26,41,,
T,2022-12-09 13:23:48,40.95786833,-8.57145000,1.60,112.600,,14.853,293,25,41,,
T,2022-12-09 13:23:49,40.95792333,-8.57161000,1.60,113.200,,14.497,294,25,41,,
T,2022-12-09 13:23:50,40.95797667,-8.57176167,1.60,113.800,,13.917,294,25,41,,
T,2022-12-09 13:23:51,40.95802833,-8.57191167,1.60,114.500,,13.916,295,25,41,,
T,2022-12-09 13:23:52,40.95808167,-8.57206000,1.60,115.200,,14.015,294,25,41,,
T,2022-12-09 13:23:53,40.95813500,-8.57221000,1.60,116.000,,13.769,294,25,41,,
T,2022-12-09 13:23:54,40.95818500,-8.57236000,1.70,116.500,,13.491,293,25,41,,
T,2022-12-09 13:23:55,40.95822667,-8.57250833,1.70,117.500,,13.557,291,25,41,,
T,2022-12-09 13:23:56,40.95827667,-8.57266000,1.70,117.900,,13.554,294,25,41,,
T,2022-12-09 13:23:57,40.95833000,-8.57280833,1.70,118.000,,13.505,294,25,41,,
T,2022-12-09 13:23:58,40.95837833,-8.57295333,1.70,118.400,,13.397,293,25,41,,
T,2022-12-09 13:23:59,40.95842667,-8.57310167,1.70,118.500,,13.643,294,25,41,,
T,2022-12-09 13:24:00,40.95847500,-8.57324833,1.70,118.500,,13.469,294,25,42,,
T,2022-12-09 13:24:01,40.95852500,-8.57339500,1.60,118.400,,13.342,294,25,42,,
T,2022-12-09 13:24:02,40.95857500,-8.57354167,1.60,118.500,,13.337,294,24,42,,
T,2022-12-09 13:24:03,40.95862333,-8.57368333,1.60,118.500,,12.916,295,24,42,,
T,2022-12-09 13:24:04,40.95866500,-8.57382167,1.60,118.400,,12.385,294,23,42,,
T,2022-12-09 13:24:05,40.95870833,-8.57395167,1.60,118.400,,11.434,293,22,42,,
T,2022-12-09 13:24:06,40.95874833,-8.57406500,1.60,118.200,,9.497,293,23,42,,
T,2022-12-09 13:24:07,40.95876833,-8.57415833,1.70,117.900,,7.939,292,24,42,,
T,2022-12-09 13:24:08,40.95879333,-8.57422333,1.80,118.300,,5.896,297,24,42,,
T,2022-12-09 13:24:09,40.95881500,-8.57424500,1.90,119.100,,3.529,316,24,42,,
T,2022-12-09 13:24:10,40.95884000,-8.57423833,1.90,119.900,,3.073,352,24,42,,
T,2022-12-09 13:24:11,40.95886667,-8.57418667,1.90,120.500,,3.977,42,24,42,,
T,2022-12-09 13:24:12,40.95890000,-8.57410167,2.00,121.000,,6.410,55,24,42,,
T,2022-12-09 13:24:13,40.95893833,-8.57400000,1.90,121.000,,8.494,58,23,42,,
T,2022-12-09 13:24:14,40.95897667,-8.57389000,1.90,121.000,,9.481,60,25,42,,
T,2022-12-09 13:24:15,40.95902167,-8.57378333,1.80,121.300,,9.573,57,25,42,,
T,2022-12-09 13:24:16,40.95906333,-8.57367500,1.80,122.100,,9.703,59,25,42,,
T,2022-12-09 13:24:17,40.95911167,-8.57357667,1.80,122.400,,9.416,55,26,42,,
T,2022-12-09 13:24:18,40.95916000,-8.57348500,1.80,122.700,,9.086,54,25,42,,
T,2022-12-09 13:24:19,40.95921333,-8.57339167,1.80,123.200,,9.299,51,25,42,,
T,2022-12-09 13:24:20,40.95926833,-8.57331000,1.70,123.400,,8.613,49,25,42,,
T,2022-12-09 13:24:21,40.95931833,-8.57323667,1.70,123.900,,7.725,52,27,42,,
T,2022-12-09 13:24:22,40.95936500,-8.57316500,1.70,124.500,,7.712,50,27,42,,
T,2022-12-09 13:24:23,40.95940833,-8.57309000,1.70,125.100,,8.234,52,26,42,,
T,2022-12-09 13:24:24,40.95945833,-8.57300500,1.80,125.000,,9.037,53,26,42,,
T,2022-12-09 13:24:25,40.95950167,-8.57291167,1.80,124.800,,9.809,58,27,42,,
T,2022-12-09 13:24:26,40.95955500,-8.57280833,1.70,125.400,,10.839,59,27,42,,
T,2022-12-09 13:24:27,40.95961500,-8.57269167,1.70,125.600,,11.990,57,28,42,,
T,2022-12-09 13:24:28,40.95968333,-8.57256667,1.70,125.700,,12.976,53,28,42,,
T,2022-12-09 13:24:29,40.95975333,-8.57243833,1.70,125.200,,12.889,53,27,42,,
T,2022-12-09 13:24:30,40.95982667,-8.57231000,1.70,125.500,,13.177,52,26,42,,
T,2022-12-09 13:24:31,40.95990167,-8.57217833,1.70,125.900,,13.445,53,26,42,,
T,2022-12-09 13:24:32,40.95998000,-8.57204667,1.70,126.500,,13.631,53,26,42,,
T,2022-12-09 13:24:33,40.96006000,-8.57191833,1.70,126.800,,13.510,50,26,42,,
T,2022-12-09 13:24:34,40.96014333,-8.57179333,1.60,127.700,,13.493,49,26,42,,
T,2022-12-09 13:24:35,40.96022500,-8.57167500,1.60,128.500,,13.229,48,26,42,,
T,2022-12-09 13:24:36,40.96030500,-8.57155667,1.60,129.100,,12.861,48,26,42,,
T,2022-12-09 13:24:37,40.96039667,-8.57145833,1.60,129.700,,12.836,35,27,42,,
T,2022-12-09 13:24:38,40.96050667,-8.57139667,1.70,129.700,,12.951,17,28,42,,
T,2022-12-09 13:24:39,40.96062000,-8.57137167,1.70,129.700,,12.603,7,27,42,,
T,2022-12-09 13:24:40,40.96073000,-8.57136667,1.70,129.600,,12.577,2,28,42,,
T,2022-12-09 13:24:41,40.96083333,-8.57136833,1.60,129.100,,11.179,1,29,42,,
T,2022-12-09 13:24:42,40.96092000,-8.57137500,1.60,128.500,,8.936,359,28,42,,
T,2022-12-09 13:24:43,40.96100167,-8.57138333,1.60,128.200,,8.940,355,28,42,,
T,2022-12-09 13:24:44,40.96108667,-8.57139500,1.60,128.200,,9.478,354,27,42,,
T,2022-12-09 13:24:45,40.96117167,-8.57140667,1.60,128.000,,9.688,356,26,42,,
T,2022-12-09 13:24:46,40.96125833,-8.57140833,1.60,128.000,,9.535,5,27,42,,
T,2022-12-09 13:24:47,40.96134167,-8.57138667,1.60,127.900,,9.518,16,27,42,,
T,2022-12-09 13:24:48,40.96142167,-8.57133833,1.70,127.300,,10.070,26,27,42,,
T,2022-12-09 13:24:49,40.96148167,-8.57124167,1.70,127.400,,10.861,50,28,42,,
T,2022-12-09 13:24:50,40.96154500,-8.57112667,1.70,127.400,,12.259,54,28,42,,
T,2022-12-09 13:24:51,40.96161167,-8.57099500,1.70,128.100,,13.579,54,28,42,,
T,2022-12-09 13:24:52,40.96168833,-8.57085667,1.70,128.200,,14.662,53,27,42,,
T,2022-12-09 13:24:53,40.96176667,-8.57071333,1.70,128.900,,14.343,54,26,42,,
T,2022-12-09 13:24:54,40.96184000,-8.57056833,1.70,129.900,,14.714,56,26,42,,
T,2022-12-09 13:24:55,40.96191000,-8.57041333,1.60,130.800,,15.022,58,27,42,,
T,2022-12-09 13:24:56,40.96198000,-8.57026000,1.60,131.600,,15.275,57,26,42,,
T,2022-12-09 13:24:57,40.96205333,-8.57011000,1.60,132.400,,15.256,58,27,42,,
T,2022-12-09 13:24:58,40.96212333,-8.56996667,1.60,132.800,,15.228,56,27,42,,
T,2022-12-09 13:24:59,40.96219333,-8.56982333,1.60,133.300,,15.314,58,26,42,,
T,2022-12-09 13:25:00,40.96226333,-8.56967333,1.60,134.100,,15.051,61,27,42,,
T,2022-12-09 13:25:01,40.96232833,-8.56950667,1.60,134.500,,15.881,63,27,42,,
T,2022-12-09 13:25:02,40.96239667,-8.56933667,1.60,135.200,,16.127,62,27,42,,
T,2022-12-09 13:25:03,40.96246667,-8.56916500,1.60,135.700,,15.983,61,27,42,,
T,2022-12-09 13:25:04,40.96253833,-8.56900167,1.60,136.200,,15.581,60,26,42,,
T,2022-12-09 13:25:05,40.96261667,-8.56883833,1.60,136.800,,16.230,56,26,42,,
T,2022-12-09 13:25:06,40.96270833,-8.56868500,1.60,137.700,,16.244,46,26,42,,
T,2022-12-09 13:25:07,40.96282667,-8.56856000,1.60,138.400,,16.462,34,27,42,,
T,2022-12-09 13:25:08,40.96296000,-8.56845500,1.60,139.000,,16.391,30,27,42,,
T,2022-12-09 13:25:09,40.96309000,-8.56833833,1.60,139.700,,17.460,39,27,42,,
T,2022-12-09 13:25:10,40.96320333,-8.56819333,1.60,140.300,,17.477,48,27,42,,
T,2022-12-09 13:25:11,40.96329667,-8.56802333,1.70,140.700,,17.941,57,27,42,,
T,2022-12-09 13:25:12,40.96336833,-8.56783167,1.70,141.400,,17.927,68,27,42,,
T,2022-12-09 13:25:13,40.96342333,-8.56762667,1.60,142.000,,18.074,68,27,42,,
T,2022-12-09 13:25:14,40.96348167,-8.56741667,1.60,142.800,,18.258,68,26,42,,
T,2022-12-09 13:25:15,40.96354167,-8.56721500,1.60,143.800,,17.495,68,26,42,,
T,2022-12-09 13:25:16,40.96360000,-8.56701833,1.60,144.000,,16.946,69,25,42,,
T,2022-12-09 13:25:17,40.96365500,-8.56682667,1.50,143.800,,16.687,68,27,42,,
T,2022-12-09 13:25:18,40.96371167,-8.56664167,1.50,143.300,,16.471,68,27,42,,
T,2022-12-09 13:25:19,40.96376833,-8.56646167,1.50,142.800,,16.279,67,27,42,,
T,2022-12-09 13:25:20,40.96382833,-8.56628333,1.50,142.200,,16.071,65,27,42,,
T,2022-12-09 13:25:21,40.96389333,-8.56611333,1.50,141.900,,15.725,62,27,42,,
T,2022-12-09 13:25:22,40.96396333,-8.56595500,1.50,141.800,,15.231,58,26,42,,
T,2022-12-09 13:25:23,40.96404000,-8.56581167,1.60,141.800,,14.672,51,26,42,,
T,2022-12-09 13:25:24,40.96413167,-8.56569000,1.60,142.200,,14.542,41,26,42,,
T,2022-12-09 13:25:25,40.96423833,-8.56558833,1.60,142.600,,14.508,32,26,42,,
T,2022-12-09 13:25:26,40.96435500,-8.56550667,1.60,143.100,,14.154,26,27,42,,
T,2022-12-09 13:25:27,40.96446833,-8.56543667,1.60,143.700,,13.908,27,25,42,,
T,2022-12-09 13:25:28,40.96458000,-8.56535333,1.60,144.100,,14.780,34,25,42,,
T,2022-12-09 13:25:29,40.96469000,-8.56525500,1.60,144.600,,14.800,39,25,42,,
T,2022-12-09 13:25:30,40.96478833,-8.56513833,1.60,144.800,,14.830,45,25,42,,
T,2022-12-09 13:25:31,40.96488333,-8.56501167,1.60,144.800,,15.245,47,23,42,,
T,2022-12-09 13:25:32,40.96497833,-8.56488333,1.70,145.000,,15.205,47,23,42,,
T,2022-12-09 13:25:33,40.96507333,-8.56475500,1.70,145.400,,15.226,46,24,42,,
T,2022-12-09 13:25:34,40.96516833,-8.56463000,1.70,145.700,,15.192,46,25,42,,
T,2022-12-09 13:25:35,40.96526333,-8.56450500,1.70,146.000,,15.290,47,26,42,,
